2026-05-08 22:37:21 | INFO | evaluate | device=mps
2026-05-08 22:37:36 | INFO | evaluate | accuracy=0.6320 macro_f1=0.6217 weighted_f1=0.6217 roc_auc_ovr_macro=0.9215455555555556
2026-05-08 22:37:36 | INFO | evaluate | Saved report: /Users/hieunguyen/music_genre_classification/outputs/mel_cnn/reports/evaluation_report.md
2026-05-08 22:37:36 | INFO | evaluate | Saved confusion matrix: /Users/hieunguyen/music_genre_classification/outputs/mel_cnn/figures/confusion_matrix.png
2026-05-08 22:37:36 | INFO | evaluate | Saved misclassified table (groups): /Users/hieunguyen/music_genre_classification/outputs/mel_cnn/reports/misclassified.csv
2026-05-08 22:37:36 | INFO | evaluate | Saved ROC/PR curves
2026-05-09 23:23:59 | INFO | evaluate | device=cuda
2026-05-09 23:24:12 | INFO | evaluate | accuracy=0.6310 macro_f1=0.6211 weighted_f1=0.6211 roc_auc_ovr_macro=0.9211494444444444
2026-05-09 23:24:12 | INFO | evaluate | Saved report: D:\ML\music_genre_classification\outputs\mel_cnn\reports\evaluation_report.md
2026-05-09 23:24:13 | INFO | evaluate | Saved confusion matrix: D:\ML\music_genre_classification\outputs\mel_cnn\figures\confusion_matrix.png
2026-05-09 23:24:13 | INFO | evaluate | Saved misclassified table (groups): D:\ML\music_genre_classification\outputs\mel_cnn\reports\misclassified.csv
2026-05-09 23:24:15 | INFO | evaluate | Saved ROC/PR curves
2026-05-20 00:17:27 | INFO | evaluate | device=mps
2026-05-20 00:17:42 | INFO | evaluate | accuracy=0.6320 macro_f1=0.6217 weighted_f1=0.6217 roc_auc_ovr_macro=0.9215455555555556
2026-05-20 00:17:42 | INFO | evaluate | Saved report: /Users/hieunguyen/music_genre_classification/outputs/mel_cnn/reports/evaluation_report.md
2026-05-20 00:17:42 | INFO | evaluate | Saved confusion matrix: /Users/hieunguyen/music_genre_classification/outputs/mel_cnn/figures/confusion_matrix.png
2026-05-20 00:17:42 | INFO | evaluate | Saved misclassified table (groups): /Users/hieunguyen/music_genre_classification/outputs/mel_cnn/reports/misclassified.csv
2026-05-20 00:17:42 | INFO | evaluate | Track-level (majority_vote): accuracy=0.6900 tracks=200 -> /Users/hieunguyen/music_genre_classification/outputs/mel_cnn/reports/track_level_majority_vote.md
2026-05-20 00:17:42 | INFO | evaluate | Track-level (mean_proba): accuracy=0.7150 tracks=200 -> /Users/hieunguyen/music_genre_classification/outputs/mel_cnn/reports/track_level_mean_proba.md
2026-05-20 00:17:43 | INFO | evaluate | Saved ROC/PR curves
2026-06-21 00:42:46 | INFO | evaluate | device=mps
2026-06-21 00:43:01 | INFO | evaluate | accuracy=0.6320 macro_f1=0.6217 weighted_f1=0.6217 roc_auc_ovr_macro=0.9215455555555556
2026-06-21 00:43:01 | INFO | evaluate | Saved report: /Users/hieunguyen/music_genre_classification/outputs/mel_cnn/reports/evaluation_report.md
2026-06-21 00:43:01 | INFO | evaluate | Saved confusion matrix: /Users/hieunguyen/music_genre_classification/outputs/mel_cnn/figures/confusion_matrix.png
2026-06-21 00:43:01 | INFO | evaluate | Saved misclassified table (groups): /Users/hieunguyen/music_genre_classification/outputs/mel_cnn/reports/misclassified.csv
2026-06-21 00:43:01 | INFO | evaluate | Track-level (majority_vote): accuracy=0.6900 tracks=200 -> /Users/hieunguyen/music_genre_classification/outputs/mel_cnn/reports/track_level_majority_vote.md
2026-06-21 00:43:01 | INFO | evaluate | Track-level (mean_proba): accuracy=0.7150 tracks=200 -> /Users/hieunguyen/music_genre_classification/outputs/mel_cnn/reports/track_level_mean_proba.md
2026-06-21 00:43:02 | INFO | evaluate | Saved ROC/PR curves
