filename,true,pred
blues.00001,blues,hiphop
blues.00001,blues,country
blues.00001,blues,rock
blues.00001,blues,reggae
blues.00001,blues,pop
blues.00001,blues,classical
blues.00002,blues,disco
blues.00002,blues,disco
blues.00002,blues,country
blues.00020,blues,jazz
blues.00020,blues,hiphop
blues.00020,blues,jazz
blues.00020,blues,hiphop
blues.00023,blues,classical
blues.00032,blues,classical
blues.00032,blues,country
blues.00032,blues,classical
blues.00032,blues,classical
blues.00052,blues,classical
blues.00052,blues,country
blues.00052,blues,classical
blues.00052,blues,country
blues.00057,blues,rock
blues.00057,blues,hiphop
blues.00057,blues,hiphop
blues.00057,blues,rock
blues.00057,blues,rock
blues.00059,blues,reggae
blues.00059,blues,disco
blues.00059,blues,country
blues.00059,blues,jazz
blues.00059,blues,country
blues.00059,blues,country
blues.00059,blues,disco
blues.00059,blues,reggae
blues.00063,blues,rock
blues.00063,blues,country
blues.00063,blues,rock
blues.00063,blues,country
blues.00063,blues,jazz
blues.00074,blues,pop
blues.00074,blues,country
blues.00074,blues,disco
blues.00074,blues,pop
blues.00074,blues,country
blues.00074,blues,disco
blues.00074,blues,disco
blues.00074,blues,country
blues.00074,blues,country
blues.00075,blues,disco
blues.00075,blues,disco
blues.00075,blues,disco
blues.00075,blues,disco
blues.00075,blues,disco
blues.00075,blues,disco
blues.00075,blues,reggae
blues.00075,blues,disco
blues.00075,blues,country
blues.00075,blues,disco
blues.00082,blues,disco
blues.00082,blues,country
blues.00082,blues,country
blues.00082,blues,disco
blues.00082,blues,country
blues.00082,blues,disco
blues.00082,blues,disco
blues.00086,blues,reggae
blues.00087,blues,classical
blues.00087,blues,country
blues.00087,blues,reggae
blues.00090,blues,country
blues.00090,blues,country
blues.00095,blues,classical
blues.00095,blues,rock
blues.00095,blues,jazz
blues.00097,blues,reggae
blues.00097,blues,reggae
blues.00097,blues,reggae
blues.00097,blues,reggae
blues.00097,blues,reggae
blues.00097,blues,reggae
blues.00097,blues,classical
blues.00097,blues,classical
classical.00046,classical,rock
country.00001,country,rock
country.00001,country,metal
country.00001,country,rock
country.00001,country,rock
country.00001,country,blues
country.00001,country,metal
country.00001,country,rock
country.00001,country,rock
country.00001,country,rock
country.00010,country,classical
country.00010,country,classical
country.00010,country,classical
country.00010,country,classical
country.00010,country,reggae
country.00010,country,classical
country.00015,country,rock
country.00015,country,rock
country.00015,country,metal
country.00015,country,rock
country.00015,country,rock
country.00015,country,rock
country.00015,country,rock
country.00015,country,rock
country.00015,country,classical
country.00015,country,rock
country.00016,country,blues
country.00016,country,disco
country.00016,country,disco
country.00016,country,disco
country.00016,country,disco
country.00016,country,disco
country.00016,country,disco
country.00016,country,disco
country.00023,country,blues
country.00023,country,blues
country.00023,country,blues
country.00023,country,classical
country.00023,country,classical
country.00023,country,blues
country.00023,country,blues
country.00023,country,blues
country.00023,country,classical
country.00023,country,classical
country.00037,country,rock
country.00037,country,rock
country.00037,country,rock
country.00037,country,rock
country.00037,country,rock
country.00037,country,rock
country.00043,country,rock
country.00043,country,rock
country.00043,country,rock
country.00043,country,rock
country.00043,country,rock
country.00043,country,rock
country.00052,country,classical
country.00052,country,classical
country.00052,country,classical
country.00052,country,classical
country.00052,country,classical
country.00052,country,classical
country.00052,country,classical
country.00052,country,classical
country.00052,country,classical
country.00055,country,rock
country.00055,country,rock
country.00055,country,rock
country.00055,country,rock
country.00055,country,rock
country.00055,country,rock
country.00055,country,rock
country.00055,country,rock
country.00067,country,blues
country.00067,country,blues
country.00067,country,blues
country.00067,country,blues
country.00067,country,classical
country.00067,country,blues
country.00067,country,blues
country.00067,country,blues
country.00067,country,blues
country.00067,country,classical
country.00068,country,classical
country.00068,country,disco
country.00068,country,classical
country.00068,country,classical
country.00069,country,classical
country.00069,country,classical
country.00069,country,classical
country.00069,country,classical
country.00069,country,classical
country.00069,country,classical
country.00069,country,classical
country.00069,country,classical
country.00069,country,classical
country.00072,country,rock
country.00074,country,classical
country.00074,country,rock
country.00074,country,classical
country.00074,country,rock
country.00089,country,blues
country.00089,country,classical
country.00089,country,classical
country.00089,country,classical
country.00089,country,blues
country.00093,country,classical
country.00093,country,classical
country.00093,country,blues
country.00094,country,blues
disco.00003,disco,rock
disco.00020,disco,reggae
disco.00020,disco,country
disco.00020,disco,country
disco.00020,disco,classical
disco.00021,disco,country
disco.00021,disco,pop
