filename,true,pred
blues.00001,blues,reggae
blues.00001,blues,jazz
blues.00001,blues,rock
blues.00001,blues,rock
blues.00001,blues,pop
blues.00001,blues,disco
blues.00001,blues,pop
blues.00001,blues,rock
blues.00002,blues,rock
blues.00002,blues,rock
blues.00002,blues,rock
blues.00002,blues,rock
blues.00002,blues,rock
blues.00002,blues,rock
blues.00002,blues,country
blues.00002,blues,rock
blues.00002,blues,rock
blues.00002,blues,rock
blues.00020,blues,jazz
blues.00020,blues,jazz
blues.00020,blues,jazz
blues.00020,blues,jazz
blues.00020,blues,jazz
blues.00020,blues,jazz
blues.00020,blues,jazz
blues.00021,blues,jazz
blues.00023,blues,jazz
blues.00023,blues,jazz
blues.00023,blues,jazz
blues.00023,blues,jazz
blues.00023,blues,jazz
blues.00023,blues,jazz
blues.00023,blues,jazz
blues.00023,blues,jazz
blues.00023,blues,jazz
blues.00052,blues,reggae
blues.00052,blues,rock
blues.00052,blues,reggae
blues.00057,blues,rock
blues.00059,blues,disco
blues.00063,blues,rock
blues.00063,blues,rock
blues.00063,blues,rock
blues.00063,blues,rock
blues.00074,blues,country
blues.00074,blues,country
blues.00074,blues,country
blues.00074,blues,country
blues.00074,blues,country
blues.00074,blues,rock
blues.00074,blues,disco
blues.00074,blues,jazz
blues.00074,blues,jazz
blues.00075,blues,rock
blues.00075,blues,disco
blues.00075,blues,rock
blues.00075,blues,disco
blues.00075,blues,rock
blues.00075,blues,rock
blues.00075,blues,disco
blues.00075,blues,disco
blues.00082,blues,country
blues.00082,blues,country
blues.00082,blues,country
blues.00082,blues,rock
blues.00082,blues,country
blues.00082,blues,rock
blues.00082,blues,rock
blues.00086,blues,reggae
blues.00086,blues,reggae
blues.00086,blues,country
blues.00087,blues,country
blues.00087,blues,reggae
blues.00090,blues,country
blues.00090,blues,reggae
blues.00090,blues,country
blues.00090,blues,country
blues.00090,blues,country
blues.00095,blues,country
blues.00095,blues,country
blues.00095,blues,country
blues.00095,blues,country
blues.00095,blues,country
blues.00095,blues,country
blues.00095,blues,country
blues.00095,blues,country
blues.00095,blues,country
blues.00097,blues,country
blues.00097,blues,reggae
blues.00097,blues,country
blues.00097,blues,country
blues.00097,blues,disco
blues.00097,blues,country
classical.00002,classical,country
classical.00036,classical,jazz
classical.00036,classical,jazz
classical.00036,classical,jazz
classical.00046,classical,rock
classical.00061,classical,jazz
classical.00061,classical,jazz
classical.00061,classical,jazz
classical.00061,classical,jazz
classical.00064,classical,jazz
classical.00064,classical,jazz
classical.00064,classical,jazz
classical.00064,classical,jazz
country.00001,country,rock
country.00001,country,rock
country.00001,country,rock
country.00001,country,rock
country.00001,country,rock
country.00001,country,rock
country.00001,country,disco
country.00001,country,rock
country.00010,country,classical
country.00010,country,rock
country.00010,country,rock
country.00015,country,hiphop
country.00015,country,blues
country.00015,country,blues
country.00015,country,blues
country.00015,country,blues
country.00015,country,blues
country.00015,country,blues
country.00015,country,blues
country.00016,country,blues
country.00016,country,jazz
country.00016,country,jazz
country.00018,country,rock
country.00018,country,rock
country.00023,country,jazz
country.00023,country,rock
country.00023,country,blues
country.00023,country,jazz
country.00023,country,rock
country.00023,country,blues
country.00023,country,rock
country.00023,country,blues
country.00023,country,jazz
country.00023,country,jazz
country.00043,country,rock
country.00043,country,rock
country.00043,country,rock
country.00043,country,rock
country.00043,country,rock
country.00043,country,rock
country.00043,country,rock
country.00043,country,rock
country.00043,country,rock
country.00054,country,jazz
country.00055,country,rock
country.00055,country,disco
country.00055,country,rock
country.00067,country,pop
country.00067,country,blues
country.00067,country,blues
country.00067,country,blues
country.00067,country,reggae
country.00067,country,blues
country.00067,country,blues
country.00067,country,blues
country.00068,country,rock
country.00068,country,rock
country.00069,country,jazz
country.00069,country,jazz
country.00069,country,classical
country.00074,country,rock
country.00089,country,reggae
disco.00003,disco,blues
disco.00003,disco,rock
disco.00003,disco,hiphop
disco.00007,disco,pop
disco.00007,disco,country
disco.00007,disco,rock
disco.00007,disco,country
disco.00018,disco,pop
disco.00018,disco,pop
disco.00018,disco,pop
disco.00018,disco,pop
disco.00018,disco,pop
disco.00018,disco,pop
disco.00018,disco,pop
disco.00020,disco,rock
disco.00020,disco,rock
disco.00020,disco,rock
disco.00020,disco,country
disco.00020,disco,rock
disco.00021,disco,pop
disco.00021,disco,pop
disco.00021,disco,pop
disco.00021,disco,pop
disco.00021,disco,pop
disco.00021,disco,pop
disco.00026,disco,pop
disco.00026,disco,pop
disco.00026,disco,pop
disco.00026,disco,pop
disco.00026,disco,pop
disco.00026,disco,pop
disco.00026,disco,pop
