filename,true,pred
blues.00001,blues,reggae
blues.00001,blues,reggae
blues.00001,blues,country
blues.00001,blues,disco
blues.00001,blues,reggae
blues.00001,blues,reggae
blues.00001,blues,pop
blues.00001,blues,pop
blues.00001,blues,reggae
blues.00002,blues,rock
blues.00002,blues,rock
blues.00002,blues,rock
blues.00002,blues,rock
blues.00002,blues,rock
blues.00002,blues,rock
blues.00002,blues,rock
blues.00002,blues,rock
blues.00002,blues,rock
blues.00002,blues,rock
blues.00021,blues,jazz
blues.00023,blues,country
blues.00023,blues,reggae
blues.00023,blues,reggae
blues.00023,blues,reggae
blues.00029,blues,disco
blues.00029,blues,rock
blues.00029,blues,rock
blues.00029,blues,disco
blues.00029,blues,disco
blues.00029,blues,rock
blues.00029,blues,jazz
blues.00029,blues,rock
blues.00032,blues,pop
blues.00032,blues,reggae
blues.00037,blues,disco
blues.00037,blues,disco
blues.00052,blues,reggae
blues.00052,blues,reggae
blues.00052,blues,reggae
blues.00052,blues,pop
blues.00052,blues,reggae
blues.00052,blues,reggae
blues.00052,blues,disco
blues.00052,blues,reggae
blues.00057,blues,rock
blues.00057,blues,rock
blues.00057,blues,rock
blues.00057,blues,rock
blues.00057,blues,rock
blues.00057,blues,reggae
blues.00057,blues,rock
blues.00057,blues,disco
blues.00057,blues,hiphop
blues.00059,blues,disco
blues.00059,blues,reggae
blues.00059,blues,rock
blues.00059,blues,reggae
blues.00059,blues,reggae
blues.00059,blues,hiphop
blues.00059,blues,reggae
blues.00063,blues,hiphop
blues.00063,blues,disco
blues.00063,blues,hiphop
blues.00063,blues,rock
blues.00063,blues,rock
blues.00063,blues,disco
blues.00074,blues,reggae
blues.00074,blues,reggae
blues.00074,blues,pop
blues.00074,blues,pop
blues.00074,blues,pop
blues.00074,blues,disco
blues.00074,blues,pop
blues.00075,blues,reggae
blues.00075,blues,rock
blues.00075,blues,reggae
blues.00075,blues,rock
blues.00075,blues,disco
blues.00075,blues,reggae
blues.00075,blues,pop
blues.00075,blues,jazz
blues.00075,blues,reggae
blues.00082,blues,reggae
blues.00082,blues,rock
blues.00082,blues,country
blues.00082,blues,country
blues.00082,blues,country
blues.00082,blues,disco
blues.00082,blues,rock
blues.00082,blues,rock
blues.00086,blues,reggae
blues.00086,blues,reggae
blues.00086,blues,rock
blues.00086,blues,reggae
blues.00087,blues,reggae
blues.00087,blues,reggae
blues.00087,blues,reggae
blues.00087,blues,reggae
blues.00090,blues,reggae
blues.00090,blues,reggae
blues.00090,blues,rock
blues.00090,blues,jazz
blues.00090,blues,country
blues.00090,blues,reggae
blues.00095,blues,reggae
blues.00095,blues,rock
blues.00095,blues,disco
blues.00095,blues,rock
blues.00095,blues,rock
blues.00095,blues,rock
blues.00095,blues,rock
blues.00095,blues,rock
blues.00095,blues,reggae
blues.00097,blues,rock
blues.00097,blues,rock
blues.00097,blues,rock
blues.00097,blues,country
classical.00002,classical,country
classical.00006,classical,jazz
classical.00011,classical,jazz
classical.00027,classical,country
classical.00027,classical,country
classical.00027,classical,country
classical.00032,classical,jazz
classical.00032,classical,country
classical.00032,classical,jazz
classical.00032,classical,country
classical.00032,classical,jazz
classical.00032,classical,jazz
classical.00032,classical,blues
classical.00033,classical,country
classical.00033,classical,jazz
classical.00033,classical,jazz
classical.00033,classical,jazz
classical.00034,classical,country
classical.00034,classical,jazz
classical.00034,classical,country
classical.00036,classical,jazz
classical.00036,classical,jazz
classical.00036,classical,reggae
classical.00040,classical,pop
classical.00040,classical,pop
classical.00046,classical,jazz
classical.00046,classical,jazz
classical.00046,classical,jazz
classical.00046,classical,country
classical.00047,classical,country
classical.00047,classical,country
classical.00061,classical,country
classical.00061,classical,country
classical.00061,classical,country
classical.00061,classical,country
classical.00064,classical,jazz
classical.00064,classical,jazz
classical.00064,classical,jazz
classical.00064,classical,jazz
classical.00064,classical,jazz
classical.00064,classical,jazz
classical.00072,classical,blues
classical.00099,classical,country
classical.00099,classical,country
classical.00099,classical,jazz
classical.00099,classical,country
country.00001,country,metal
country.00001,country,rock
country.00001,country,rock
country.00001,country,metal
country.00001,country,rock
country.00001,country,reggae
country.00001,country,reggae
country.00001,country,rock
country.00010,country,rock
country.00010,country,reggae
country.00010,country,reggae
country.00010,country,reggae
country.00010,country,rock
country.00010,country,blues
country.00010,country,blues
country.00015,country,reggae
country.00015,country,jazz
country.00015,country,jazz
country.00015,country,jazz
country.00015,country,jazz
country.00016,country,blues
country.00016,country,blues
country.00016,country,jazz
country.00016,country,jazz
country.00016,country,blues
country.00016,country,blues
country.00016,country,blues
country.00016,country,jazz
country.00018,country,rock
country.00018,country,disco
country.00018,country,rock
country.00018,country,pop
country.00018,country,rock
country.00018,country,blues
country.00018,country,rock
country.00018,country,rock
country.00018,country,rock
