2026-05-09 22:40:05 | INFO | evaluate | device=cuda
2026-05-09 22:40:06 | INFO | evaluate | accuracy=0.4299 macro_f1=0.4155 weighted_f1=0.4155 roc_auc_ovr_macro=0.8408883352301336
2026-05-09 22:40:06 | INFO | evaluate | Saved report: D:\ML\music_genre_classification\outputs\tabular_ada_boost\reports\evaluation_report.md
2026-05-09 22:40:06 | INFO | evaluate | Saved confusion matrix: D:\ML\music_genre_classification\outputs\tabular_ada_boost\figures\confusion_matrix.png
2026-05-09 22:40:06 | INFO | evaluate | Saved misclassified table: D:\ML\music_genre_classification\outputs\tabular_ada_boost\reports\misclassified.csv
2026-05-09 22:40:07 | INFO | evaluate | Saved ROC/PR curves
2026-05-19 22:53:50 | INFO | evaluate | device=mps
2026-05-19 22:53:50 | INFO | evaluate | accuracy=0.4665 macro_f1=0.4655 weighted_f1=0.4655 roc_auc_ovr_macro=0.8249280555555556
2026-05-19 22:53:50 | INFO | evaluate | Saved report: /Users/hieunguyen/music_genre_classification/outputs/tabular_ada_boost/reports/evaluation_report.md
2026-05-19 22:53:50 | INFO | evaluate | Saved confusion matrix: /Users/hieunguyen/music_genre_classification/outputs/tabular_ada_boost/figures/confusion_matrix.png
2026-05-19 22:53:50 | INFO | evaluate | Saved misclassified table: /Users/hieunguyen/music_genre_classification/outputs/tabular_ada_boost/reports/misclassified.csv
2026-05-19 22:53:51 | INFO | evaluate | Saved ROC/PR curves
2026-06-20 23:52:26 | INFO | evaluate | device=mps
2026-06-20 23:52:26 | INFO | evaluate | accuracy=0.4665 macro_f1=0.4655 weighted_f1=0.4655 roc_auc_ovr_macro=0.8249280555555556
2026-06-20 23:52:26 | INFO | evaluate | Saved report: /Users/hieunguyen/music_genre_classification/outputs/tabular_ada_boost/reports/evaluation_report.md
2026-06-20 23:52:26 | INFO | evaluate | Saved confusion matrix: /Users/hieunguyen/music_genre_classification/outputs/tabular_ada_boost/figures/confusion_matrix.png
2026-06-20 23:52:26 | INFO | evaluate | Saved misclassified table: /Users/hieunguyen/music_genre_classification/outputs/tabular_ada_boost/reports/misclassified.csv
2026-06-20 23:52:26 | INFO | evaluate | Saved ROC/PR curves
