2026-05-09 22:39:30 | WARNING | visualize | Training history not found (run --stage train first)
2026-05-09 22:39:30 | INFO | visualize | Confusion matrix visualization: D:\ML\music_genre_classification\outputs\tabular_extra_trees\figures\confusion_matrix.png
2026-05-09 22:39:30 | INFO | visualize | ROC/PR curves: D:\ML\music_genre_classification\outputs\tabular_extra_trees\figures\roc_ovr.png, D:\ML\music_genre_classification\outputs\tabular_extra_trees\figures\pr_ovr.png
2026-05-09 22:39:30 | INFO | visualize | Model visualizations complete
2026-05-19 22:53:29 | WARNING | visualize | Training history not found (run --stage train first)
2026-05-19 22:53:29 | INFO | visualize | Confusion matrix visualization: /Users/hieunguyen/music_genre_classification/outputs/tabular_extra_trees/figures/confusion_matrix.png
2026-05-19 22:53:29 | INFO | visualize | ROC/PR curves: /Users/hieunguyen/music_genre_classification/outputs/tabular_extra_trees/figures/roc_ovr.png, /Users/hieunguyen/music_genre_classification/outputs/tabular_extra_trees/figures/pr_ovr.png
2026-05-19 22:53:29 | INFO | visualize | Model visualizations complete
2026-06-20 23:52:06 | WARNING | visualize | Training history not found (run --stage train first)
2026-06-20 23:52:06 | INFO | visualize | Confusion matrix visualization: /Users/hieunguyen/music_genre_classification/outputs/tabular_extra_trees/figures/confusion_matrix.png
2026-06-20 23:52:06 | INFO | visualize | ROC/PR curves: /Users/hieunguyen/music_genre_classification/outputs/tabular_extra_trees/figures/roc_ovr.png, /Users/hieunguyen/music_genre_classification/outputs/tabular_extra_trees/figures/pr_ovr.png
2026-06-20 23:52:06 | INFO | visualize | Model visualizations complete
