2026-05-09 22:38:29 | INFO | evaluate | device=cuda
2026-05-09 22:38:29 | INFO | evaluate | accuracy=0.6627 macro_f1=0.6611 weighted_f1=0.6610 roc_auc_ovr_macro=0.9402638945453322
2026-05-09 22:38:29 | INFO | evaluate | Saved report: D:\ML\music_genre_classification\outputs\tabular_lda\reports\evaluation_report.md
2026-05-09 22:38:30 | INFO | evaluate | Saved confusion matrix: D:\ML\music_genre_classification\outputs\tabular_lda\figures\confusion_matrix.png
2026-05-09 22:38:30 | INFO | evaluate | Saved misclassified table: D:\ML\music_genre_classification\outputs\tabular_lda\reports\misclassified.csv
2026-05-09 22:38:31 | INFO | evaluate | Saved ROC/PR curves
2026-05-19 22:52:53 | INFO | evaluate | device=mps
2026-05-19 22:52:54 | INFO | evaluate | accuracy=0.6345 macro_f1=0.6275 weighted_f1=0.6275 roc_auc_ovr_macro=0.9262791666666667
2026-05-19 22:52:54 | INFO | evaluate | Saved report: /Users/hieunguyen/music_genre_classification/outputs/tabular_lda/reports/evaluation_report.md
2026-05-19 22:52:54 | INFO | evaluate | Saved confusion matrix: /Users/hieunguyen/music_genre_classification/outputs/tabular_lda/figures/confusion_matrix.png
2026-05-19 22:52:54 | INFO | evaluate | Saved misclassified table: /Users/hieunguyen/music_genre_classification/outputs/tabular_lda/reports/misclassified.csv
2026-05-19 22:52:54 | INFO | evaluate | Saved ROC/PR curves
