2026-05-09 22:38:13 | INFO | evaluate | device=cuda
2026-05-09 22:38:13 | INFO | evaluate | accuracy=0.4990 macro_f1=0.4795 weighted_f1=0.4794 roc_auc_ovr_macro=0.8807099281896071
2026-05-09 22:38:13 | INFO | evaluate | Saved report: D:\ML\music_genre_classification\outputs\tabular_naive_bayes\reports\evaluation_report.md
2026-05-09 22:38:14 | INFO | evaluate | Saved confusion matrix: D:\ML\music_genre_classification\outputs\tabular_naive_bayes\figures\confusion_matrix.png
2026-05-09 22:38:14 | INFO | evaluate | Saved misclassified table: D:\ML\music_genre_classification\outputs\tabular_naive_bayes\reports\misclassified.csv
2026-05-09 22:38:15 | INFO | evaluate | Saved ROC/PR curves
2026-05-19 22:52:45 | INFO | evaluate | device=mps
2026-05-19 22:52:45 | INFO | evaluate | accuracy=0.5065 macro_f1=0.4846 weighted_f1=0.4846 roc_auc_ovr_macro=0.8693787499999999
2026-05-19 22:52:45 | INFO | evaluate | Saved report: /Users/hieunguyen/music_genre_classification/outputs/tabular_naive_bayes/reports/evaluation_report.md
2026-05-19 22:52:46 | INFO | evaluate | Saved confusion matrix: /Users/hieunguyen/music_genre_classification/outputs/tabular_naive_bayes/figures/confusion_matrix.png
2026-05-19 22:52:46 | INFO | evaluate | Saved misclassified table: /Users/hieunguyen/music_genre_classification/outputs/tabular_naive_bayes/reports/misclassified.csv
2026-05-19 22:52:46 | INFO | evaluate | Saved ROC/PR curves
