2026-05-09 22:38:51 | WARNING | visualize | Training history not found (run --stage train first)
2026-05-09 22:38:51 | INFO | visualize | Confusion matrix visualization: D:\ML\music_genre_classification\outputs\tabular_qda\figures\confusion_matrix.png
2026-05-09 22:38:51 | INFO | visualize | ROC/PR curves: D:\ML\music_genre_classification\outputs\tabular_qda\figures\roc_ovr.png, D:\ML\music_genre_classification\outputs\tabular_qda\figures\pr_ovr.png
2026-05-09 22:38:51 | INFO | visualize | Model visualizations complete
2026-05-19 22:53:06 | WARNING | visualize | Training history not found (run --stage train first)
2026-05-19 22:53:06 | INFO | visualize | Confusion matrix visualization: /Users/hieunguyen/music_genre_classification/outputs/tabular_qda/figures/confusion_matrix.png
2026-05-19 22:53:06 | INFO | visualize | ROC/PR curves: /Users/hieunguyen/music_genre_classification/outputs/tabular_qda/figures/roc_ovr.png, /Users/hieunguyen/music_genre_classification/outputs/tabular_qda/figures/pr_ovr.png
2026-05-19 22:53:06 | INFO | visualize | Model visualizations complete
2026-06-20 23:51:46 | WARNING | visualize | Training history not found (run --stage train first)
2026-06-20 23:51:46 | INFO | visualize | Confusion matrix visualization: /Users/hieunguyen/music_genre_classification/outputs/tabular_qda/figures/confusion_matrix.png
2026-06-20 23:51:46 | INFO | visualize | ROC/PR curves: /Users/hieunguyen/music_genre_classification/outputs/tabular_qda/figures/roc_ovr.png, /Users/hieunguyen/music_genre_classification/outputs/tabular_qda/figures/pr_ovr.png
2026-06-20 23:51:46 | INFO | visualize | Model visualizations complete
