2026-05-09 22:39:10 | WARNING | visualize | Training history not found (run --stage train first)
2026-05-09 22:39:10 | INFO | visualize | Confusion matrix visualization: D:\ML\music_genre_classification\outputs\tabular_random_forest\figures\confusion_matrix.png
2026-05-09 22:39:10 | INFO | visualize | ROC/PR curves: D:\ML\music_genre_classification\outputs\tabular_random_forest\figures\roc_ovr.png, D:\ML\music_genre_classification\outputs\tabular_random_forest\figures\pr_ovr.png
2026-05-09 22:39:10 | INFO | visualize | Model visualizations complete
2026-05-19 22:53:18 | WARNING | visualize | Training history not found (run --stage train first)
2026-05-19 22:53:18 | INFO | visualize | Confusion matrix visualization: /Users/hieunguyen/music_genre_classification/outputs/tabular_random_forest/figures/confusion_matrix.png
2026-05-19 22:53:18 | INFO | visualize | ROC/PR curves: /Users/hieunguyen/music_genre_classification/outputs/tabular_random_forest/figures/roc_ovr.png, /Users/hieunguyen/music_genre_classification/outputs/tabular_random_forest/figures/pr_ovr.png
2026-05-19 22:53:18 | INFO | visualize | Model visualizations complete
2026-06-20 23:51:57 | WARNING | visualize | Training history not found (run --stage train first)
2026-06-20 23:51:57 | INFO | visualize | Confusion matrix visualization: /Users/hieunguyen/music_genre_classification/outputs/tabular_random_forest/figures/confusion_matrix.png
2026-06-20 23:51:57 | INFO | visualize | ROC/PR curves: /Users/hieunguyen/music_genre_classification/outputs/tabular_random_forest/figures/roc_ovr.png, /Users/hieunguyen/music_genre_classification/outputs/tabular_random_forest/figures/pr_ovr.png
2026-06-20 23:51:57 | INFO | visualize | Model visualizations complete
