filename,true,pred
blues.00000.4.wav,blues,country
blues.00001.3.wav,blues,reggae
blues.00001.4.wav,blues,reggae
blues.00002.7.wav,blues,rock
blues.00005.8.wav,blues,jazz
blues.00006.2.wav,blues,country
blues.00009.5.wav,blues,jazz
blues.00010.5.wav,blues,classical
blues.00018.7.wav,blues,jazz
blues.00020.1.wav,blues,jazz
blues.00046.6.wav,blues,reggae
blues.00054.0.wav,blues,metal
blues.00056.0.wav,blues,reggae
blues.00056.4.wav,blues,reggae
blues.00056.6.wav,blues,country
blues.00060.0.wav,blues,metal
blues.00061.2.wav,blues,metal
blues.00074.2.wav,blues,disco
blues.00074.7.wav,blues,disco
blues.00079.5.wav,blues,metal
blues.00089.2.wav,blues,country
blues.00098.2.wav,blues,metal
blues.00098.4.wav,blues,metal
blues.00099.8.wav,blues,reggae
classical.00035.5.wav,classical,jazz
classical.00036.2.wav,classical,jazz
classical.00037.0.wav,classical,country
classical.00052.7.wav,classical,jazz
classical.00057.3.wav,classical,reggae
classical.00061.7.wav,classical,jazz
classical.00062.4.wav,classical,jazz
country.00010.4.wav,country,reggae
country.00011.6.wav,country,pop
country.00014.7.wav,country,jazz
country.00016.3.wav,country,jazz
country.00020.0.wav,country,reggae
country.00022.2.wav,country,jazz
country.00025.9.wav,country,blues
country.00030.6.wav,country,jazz
country.00030.7.wav,country,jazz
country.00031.5.wav,country,jazz
country.00032.6.wav,country,blues
country.00033.3.wav,country,pop
country.00034.7.wav,country,reggae
country.00036.7.wav,country,classical
country.00045.6.wav,country,reggae
country.00045.7.wav,country,pop
country.00057.7.wav,country,rock
country.00059.0.wav,country,blues
country.00059.1.wav,country,blues
country.00059.6.wav,country,blues
country.00063.1.wav,country,reggae
country.00064.3.wav,country,jazz
country.00065.6.wav,country,blues
country.00067.1.wav,country,blues
country.00069.0.wav,country,jazz
country.00075.9.wav,country,blues
country.00078.0.wav,country,jazz
country.00078.3.wav,country,classical
country.00089.4.wav,country,blues
country.00090.4.wav,country,blues
country.00091.8.wav,country,reggae
country.00092.6.wav,country,metal
country.00099.1.wav,country,disco
country.00099.3.wav,country,blues
disco.00020.1.wav,disco,country
disco.00021.0.wav,disco,country
disco.00021.1.wav,disco,country
disco.00026.0.wav,disco,country
disco.00027.2.wav,disco,reggae
disco.00027.3.wav,disco,reggae
disco.00027.7.wav,disco,reggae
disco.00027.9.wav,disco,reggae
disco.00031.3.wav,disco,rock
disco.00044.3.wav,disco,country
disco.00047.6.wav,disco,country
disco.00047.7.wav,disco,classical
disco.00053.3.wav,disco,hiphop
disco.00055.1.wav,disco,metal
disco.00060.1.wav,disco,metal
disco.00064.0.wav,disco,reggae
disco.00064.9.wav,disco,reggae
disco.00067.0.wav,disco,rock
disco.00067.5.wav,disco,rock
disco.00067.9.wav,disco,rock
disco.00072.4.wav,disco,metal
disco.00072.5.wav,disco,metal
disco.00077.9.wav,disco,metal
disco.00079.8.wav,disco,reggae
disco.00088.1.wav,disco,metal
disco.00088.8.wav,disco,metal
disco.00090.5.wav,disco,metal
disco.00092.9.wav,disco,rock
disco.00093.0.wav,disco,metal
disco.00094.7.wav,disco,rock
disco.00094.9.wav,disco,rock
disco.00095.1.wav,disco,reggae
hiphop.00000.2.wav,hiphop,metal
hiphop.00000.7.wav,hiphop,disco
hiphop.00008.9.wav,hiphop,disco
hiphop.00013.6.wav,hiphop,classical
hiphop.00013.8.wav,hiphop,jazz
hiphop.00015.4.wav,hiphop,disco
hiphop.00031.0.wav,hiphop,pop
hiphop.00031.4.wav,hiphop,pop
hiphop.00033.3.wav,hiphop,disco
hiphop.00033.4.wav,hiphop,metal
hiphop.00036.3.wav,hiphop,reggae
hiphop.00040.0.wav,hiphop,pop
hiphop.00040.2.wav,hiphop,country
hiphop.00040.5.wav,hiphop,pop
hiphop.00040.6.wav,hiphop,pop
hiphop.00044.7.wav,hiphop,country
hiphop.00045.7.wav,hiphop,pop
hiphop.00052.1.wav,hiphop,reggae
hiphop.00055.9.wav,hiphop,reggae
hiphop.00060.4.wav,hiphop,reggae
hiphop.00060.7.wav,hiphop,reggae
hiphop.00081.2.wav,hiphop,reggae
hiphop.00086.8.wav,hiphop,disco
hiphop.00088.4.wav,hiphop,metal
hiphop.00097.9.wav,hiphop,metal
jazz.00001.3.wav,jazz,classical
jazz.00002.8.wav,jazz,classical
jazz.00003.5.wav,jazz,classical
jazz.00003.8.wav,jazz,classical
jazz.00005.8.wav,jazz,blues
jazz.00005.9.wav,jazz,blues
jazz.00006.4.wav,jazz,blues
jazz.00007.0.wav,jazz,blues
jazz.00008.3.wav,jazz,country
jazz.00008.5.wav,jazz,country
jazz.00008.7.wav,jazz,blues
jazz.00008.8.wav,jazz,country
jazz.00010.5.wav,jazz,classical
jazz.00014.3.wav,jazz,classical
jazz.00014.4.wav,jazz,classical
jazz.00014.9.wav,jazz,classical
jazz.00026.5.wav,jazz,classical
jazz.00026.7.wav,jazz,classical
jazz.00030.1.wav,jazz,classical
metal.00008.2.wav,metal,jazz
metal.00058.6.wav,metal,rock
metal.00060.9.wav,metal,rock
metal.00079.7.wav,metal,hiphop
metal.00079.9.wav,metal,hiphop
metal.00085.1.wav,metal,blues
