2026-05-09 22:54:28 | INFO | evaluate | device=cuda
2026-05-09 22:54:29 | INFO | evaluate | accuracy=0.9044 macro_f1=0.9042 weighted_f1=0.9042 roc_auc_ovr_macro=0.9945887944470385
2026-05-09 22:54:29 | INFO | evaluate | Saved report: D:\ML\music_genre_classification\outputs\tabular_xgboost\reports\evaluation_report.md
2026-05-09 22:54:29 | INFO | evaluate | Saved confusion matrix: D:\ML\music_genre_classification\outputs\tabular_xgboost\figures\confusion_matrix.png
2026-05-09 22:54:29 | INFO | evaluate | Saved misclassified table: D:\ML\music_genre_classification\outputs\tabular_xgboost\reports\misclassified.csv
2026-05-09 22:54:30 | INFO | evaluate | Saved ROC/PR curves
2026-05-19 23:01:14 | INFO | evaluate | device=mps
2026-05-19 23:01:14 | INFO | evaluate | accuracy=0.7535 macro_f1=0.7518 weighted_f1=0.7518 roc_auc_ovr_macro=0.9657952777777776
2026-05-19 23:01:14 | INFO | evaluate | Saved report: /Users/hieunguyen/music_genre_classification/outputs/tabular_xgboost/reports/evaluation_report.md
2026-05-19 23:01:15 | INFO | evaluate | Saved confusion matrix: /Users/hieunguyen/music_genre_classification/outputs/tabular_xgboost/figures/confusion_matrix.png
2026-05-19 23:01:15 | INFO | evaluate | Saved misclassified table: /Users/hieunguyen/music_genre_classification/outputs/tabular_xgboost/reports/misclassified.csv
2026-05-19 23:01:15 | INFO | evaluate | Saved ROC/PR curves
