2026-05-09 22:54:35 | WARNING | visualize | Training history not found (run --stage train first)
2026-05-09 22:54:35 | INFO | visualize | Confusion matrix visualization: D:\ML\music_genre_classification\outputs\tabular_xgboost\figures\confusion_matrix.png
2026-05-09 22:54:35 | INFO | visualize | ROC/PR curves: D:\ML\music_genre_classification\outputs\tabular_xgboost\figures\roc_ovr.png, D:\ML\music_genre_classification\outputs\tabular_xgboost\figures\pr_ovr.png
2026-05-09 22:54:35 | INFO | visualize | Model visualizations complete
2026-05-19 23:01:17 | WARNING | visualize | Training history not found (run --stage train first)
2026-05-19 23:01:17 | INFO | visualize | Confusion matrix visualization: /Users/hieunguyen/music_genre_classification/outputs/tabular_xgboost/figures/confusion_matrix.png
2026-05-19 23:01:17 | INFO | visualize | ROC/PR curves: /Users/hieunguyen/music_genre_classification/outputs/tabular_xgboost/figures/roc_ovr.png, /Users/hieunguyen/music_genre_classification/outputs/tabular_xgboost/figures/pr_ovr.png
2026-05-19 23:01:17 | INFO | visualize | Model visualizations complete
2026-06-20 23:59:57 | WARNING | visualize | Training history not found (run --stage train first)
2026-06-20 23:59:57 | INFO | visualize | Confusion matrix visualization: /Users/hieunguyen/music_genre_classification/outputs/tabular_xgboost/figures/confusion_matrix.png
2026-06-20 23:59:57 | INFO | visualize | ROC/PR curves: /Users/hieunguyen/music_genre_classification/outputs/tabular_xgboost/figures/roc_ovr.png, /Users/hieunguyen/music_genre_classification/outputs/tabular_xgboost/figures/pr_ovr.png
2026-06-20 23:59:57 | INFO | visualize | Model visualizations complete
