2026-05-09 21:54:50 | WARNING | visualize-features | Metadata not found: D:\ML\music_genre_classification\data\processed\metadata.csv (run --stage preprocess)
2026-05-09 21:54:50 | WARNING | visualize-features | Mel cache not found: D:\ML\music_genre_classification\data\features\mel_features_v1.npz (run --stage feature)
2026-05-09 22:01:17 | WARNING | visualize-features | Metadata not found: D:\ML\music_genre_classification\data\processed\metadata.csv (run --stage preprocess)
2026-05-09 22:01:17 | WARNING | visualize-features | Mel cache not found: D:\ML\music_genre_classification\data\features\mel_features_v1.npz (run --stage feature)
2026-05-16 21:22:54 | INFO | visualize-features | Saved raw dataset stats
2026-05-16 21:23:42 | WARNING | visualize-features | UMAP skipped: UMAP requires `umap-learn`. Install it or disable in config.
2026-05-16 21:23:42 | INFO | visualize-features | Saved mel feature visualizations
2026-05-16 21:25:05 | INFO | visualize-features | Saved audio visualizations for 20 files
2026-05-19 22:49:37 | INFO | visualize-features | Saved raw dataset stats
2026-05-19 22:50:30 | WARNING | visualize-features | UMAP skipped: UMAP requires `umap-learn`. Install it or disable in config.
2026-05-19 22:50:30 | INFO | visualize-features | Saved mel feature visualizations
2026-05-19 22:51:51 | INFO | visualize-features | Saved audio visualizations for 20 files
2026-06-20 23:16:12 | INFO | visualize-features | Saved raw dataset stats
2026-06-20 23:16:12 | WARNING | visualize-features | Mel cache not found: /Users/hieunguyen/music_genre_classification/data/features/mel_features_v1.npz (run --stage feature)
